date,region,product,channel,customer_segment,units_sold,unit_price,revenue,inventory_available,stockout_rate,delivery_delay_rate,customer_complaints
2025-01-01,North,Product A,Online,Enterprise,420,100,42000,0.96,0.04,0.03,12
2025-01-01,North,Product B,Retail,SMB,510,80,40800,0.94,0.06,0.04,15
2025-01-01,North,Product C,Distributor,Consumer,630,65,40950,0.95,0.05,0.03,18
2025-01-01,North,Product D,Online,SMB,390,120,46800,0.97,0.03,0.02,10
2025-01-01,South,Product A,Online,Enterprise,450,100,45000,0.97,0.03,0.03,11
2025-01-01,South,Product B,Retail,SMB,540,80,43200,0.95,0.05,0.03,14
2025-01-01,South,Product C,Distributor,Consumer,650,65,42250,0.96,0.04,0.03,17
2025-01-01,South,Product D,Online,SMB,410,120,49200,0.98,0.02,0.02,9
2025-01-01,East,Product A,Online,Enterprise,440,100,44000,0.96,0.04,0.03,12
2025-01-01,East,Product B,Retail,SMB,530,80,42400,0.94,0.06,0.04,16
2025-01-01,East,Product C,Distributor,Consumer,640,65,41600,0.95,0.05,0.04,19
2025-01-01,East,Product D,Online,SMB,400,120,48000,0.97,0.03,0.03,11
2025-01-01,West,Product A,Online,Enterprise,460,100,46000,0.97,0.03,0.02,10
2025-01-01,West,Product B,Retail,SMB,550,80,44000,0.96,0.04,0.03,13
2025-01-01,West,Product C,Distributor,Consumer,670,65,43550,0.97,0.03,0.02,16
2025-01-01,West,Product D,Online,SMB,420,120,50400,0.98,0.02,0.02,8
2025-02-01,North,Product A,Online,Enterprise,430,100,43000,0.96,0.04,0.03,12
2025-02-01,North,Product B,Retail,SMB,520,80,41600,0.94,0.06,0.04,15
2025-02-01,North,Product C,Distributor,Consumer,640,65,41600,0.95,0.05,0.03,18
2025-02-01,North,Product D,Online,SMB,400,120,48000,0.97,0.03,0.02,10
2025-02-01,South,Product A,Online,Enterprise,460,100,46000,0.97,0.03,0.03,11
2025-02-01,South,Product B,Retail,SMB,550,80,44000,0.95,0.05,0.03,14
2025-02-01,South,Product C,Distributor,Consumer,660,65,42900,0.96,0.04,0.03,17
2025-02-01,South,Product D,Online,SMB,420,120,50400,0.98,0.02,0.02,9
2025-02-01,East,Product A,Online,Enterprise,450,100,45000,0.96,0.04,0.03,12
2025-02-01,East,Product B,Retail,SMB,540,80,43200,0.94,0.06,0.04,16
2025-02-01,East,Product C,Distributor,Consumer,650,65,42250,0.95,0.05,0.04,19
2025-02-01,East,Product D,Online,SMB,410,120,49200,0.97,0.03,0.03,11
2025-02-01,West,Product A,Online,Enterprise,470,100,47000,0.97,0.03,0.02,10
2025-02-01,West,Product B,Retail,SMB,560,80,44800,0.96,0.04,0.03,13
2025-02-01,West,Product C,Distributor,Consumer,680,65,44200,0.97,0.03,0.02,16
2025-02-01,West,Product D,Online,SMB,430,120,51600,0.98,0.02,0.02,8
2025-03-01,North,Product A,Online,Enterprise,440,100,44000,0.96,0.04,0.03,12
2025-03-01,North,Product B,Retail,SMB,530,80,42400,0.94,0.06,0.04,15
2025-03-01,North,Product C,Distributor,Consumer,650,65,42250,0.95,0.05,0.03,18
2025-03-01,North,Product D,Online,SMB,410,120,49200,0.97,0.03,0.02,10
2025-03-01,South,Product A,Online,Enterprise,470,100,47000,0.97,0.03,0.03,11
2025-03-01,South,Product B,Retail,SMB,560,80,44800,0.95,0.05,0.03,14
2025-03-01,South,Product C,Distributor,Consumer,670,65,43550,0.96,0.04,0.03,17
2025-03-01,South,Product D,Online,SMB,430,120,51600,0.98,0.02,0.02,9
2025-03-01,East,Product A,Online,Enterprise,460,100,46000,0.96,0.04,0.03,12
2025-03-01,East,Product B,Retail,SMB,550,80,44000,0.94,0.06,0.04,16
2025-03-01,East,Product C,Distributor,Consumer,660,65,42900,0.95,0.05,0.04,19
2025-03-01,East,Product D,Online,SMB,420,120,50400,0.97,0.03,0.03,11
2025-03-01,West,Product A,Online,Enterprise,480,100,48000,0.97,0.03,0.02,10
2025-03-01,West,Product B,Retail,SMB,570,80,45600,0.96,0.04,0.03,13
2025-03-01,West,Product C,Distributor,Consumer,690,65,44850,0.97,0.03,0.02,16
2025-03-01,West,Product D,Online,SMB,440,120,52800,0.98,0.02,0.02,8
2025-04-01,North,Product A,Online,Enterprise,450,100,45000,0.96,0.04,0.03,12
2025-04-01,North,Product B,Retail,SMB,540,80,43200,0.94,0.06,0.04,15
2025-04-01,North,Product C,Distributor,Consumer,660,65,42900,0.95,0.05,0.03,18
2025-04-01,North,Product D,Online,SMB,420,120,50400,0.97,0.03,0.02,10
2025-04-01,South,Product A,Online,Enterprise,480,100,48000,0.97,0.03,0.03,11
2025-04-01,South,Product B,Retail,SMB,570,80,45600,0.95,0.05,0.03,14
2025-04-01,South,Product C,Distributor,Consumer,680,65,44200,0.96,0.04,0.03,17
2025-04-01,South,Product D,Online,SMB,440,120,52800,0.98,0.02,0.02,9
2025-04-01,East,Product A,Online,Enterprise,470,100,47000,0.96,0.04,0.03,12
2025-04-01,East,Product B,Retail,SMB,560,80,44800,0.94,0.06,0.04,16
2025-04-01,East,Product C,Distributor,Consumer,670,65,43550,0.95,0.05,0.04,19
2025-04-01,East,Product D,Online,SMB,430,120,51600,0.97,0.03,0.03,11
2025-04-01,West,Product A,Online,Enterprise,490,100,49000,0.97,0.03,0.02,10
2025-04-01,West,Product B,Retail,SMB,580,80,46400,0.96,0.04,0.03,13
2025-04-01,West,Product C,Distributor,Consumer,700,65,45500,0.97,0.03,0.02,16
2025-04-01,West,Product D,Online,SMB,450,120,54000,0.98,0.02,0.02,8
