date,region,product,channel,customer_segment,revenue,inventory_available,stockout_rate,delivery_delay_rate,customer_complaints,units_sold,unit_price
2025-01-01,North,Product A,Retail,Enterprise,16005.3,0.9413,0.0297,0.0244,1.3,162.59,98.44
2025-01-01,North,Product A,Retail,SMB,10750.4,0.9297,0.0207,0.047,1.69,108.02,99.53
2025-01-01,North,Product A,Distributor,Enterprise,18869.33,0.937,0.0207,0.043,1.75,185.56,101.69
2025-01-01,North,Product A,Distributor,SMB,12778.03,0.9272,0.0216,0.0498,1.46,127.88,99.93
2025-01-01,North,Product B,Retail,Enterprise,16566.94,0.938,0.0268,0.0433,1.88,138.79,119.37
2025-01-01,North,Product B,Retail,SMB,12483.03,0.9223,0.0209,0.0449,1.82,104.66,119.27
2025-01-01,North,Product B,Distributor,Enterprise,19136.09,0.9176,0.0283,0.0459,2.21,161.5,118.49
2025-01-01,North,Product B,Distributor,SMB,12610.25,0.9318,0.0261,0.047,1.37,104.72,120.42
2025-01-01,North,Product C,Retail,Enterprise,17404.77,0.9343,0.0282,0.0283,1.33,124.19,140.14
2025-01-01,North,Product C,Retail,SMB,10840.45,0.9259,0.0325,0.0331,1.42,78.18,138.66
2025-01-01,North,Product C,Distributor,Enterprise,18178.91,0.9324,0.0279,0.0457,1.96,130.5,139.3
2025-01-01,North,Product C,Distributor,SMB,12633.46,0.9429,0.024,0.0298,0.52,90.87,139.03
2025-01-01,North,Product D,Retail,Enterprise,15852.44,0.9321,0.0285,0.0366,1.8,143.05,110.82
2025-01-01,North,Product D,Retail,SMB,11119.44,0.9369,0.0217,0.0371,1.03,101.56,109.49
2025-01-01,North,Product D,Distributor,Enterprise,18150.83,0.923,0.0251,0.0438,2.19,163.81,110.8
2025-01-01,North,Product D,Distributor,SMB,12798.31,0.9237,0.0246,0.0265,0.67,116.52,109.84
2025-01-01,South,Product A,Retail,Enterprise,13050.69,0.936,0.0205,0.037,2.24,132.49,98.5
2025-01-01,South,Product A,Retail,SMB,9195.97,0.916,0.024,0.0324,0.92,90.95,101.11
2025-01-01,South,Product A,Distributor,Enterprise,15991.56,0.9365,0.0262,0.0352,1.25,164.17,97.41
2025-01-01,South,Product A,Distributor,SMB,10615.58,0.9335,0.0251,0.0528,1.16,107.01,99.21
2025-01-01,South,Product B,Retail,Enterprise,14029.26,0.9333,0.0318,0.0467,1.58,116.6,120.32
2025-01-01,South,Product B,Retail,SMB,10425.86,0.9204,0.0204,0.0369,0.37,88.46,117.86
2025-01-01,South,Product B,Distributor,Enterprise,17120.43,0.9079,0.0199,0.0425,2.14,143.15,119.6
2025-01-01,South,Product B,Distributor,SMB,12937.56,0.9362,0.0201,0.0229,1.37,103.3,125.24
2025-01-01,South,Product C,Retail,Enterprise,13949.23,0.9208,0.0243,0.0485,1.28,100.26,139.13
2025-01-01,South,Product C,Retail,SMB,9476.57,0.9049,0.0226,0.0396,1.71,68.76,137.83
2025-01-01,South,Product C,Distributor,Enterprise,17136.74,0.9225,0.0191,0.0323,1.08,120.63,142.06
2025-01-01,South,Product C,Distributor,SMB,12531.34,0.9426,0.0205,0.0475,1.28,90.63,138.28
2025-01-01,South,Product D,Retail,Enterprise,13931.47,0.9202,0.0272,0.0364,0.91,126.73,109.93
2025-01-01,South,Product D,Retail,SMB,8670.29,0.9537,0.0258,0.0391,1.09,78.62,110.28
2025-01-01,South,Product D,Distributor,Enterprise,16903.81,0.9238,0.0305,0.0434,2.61,153.17,110.36
2025-01-01,South,Product D,Distributor,SMB,10654.8,0.9095,0.0333,0.0538,1.09,98.67,107.98
2025-01-01,East,Product A,Retail,Enterprise,15515.7,0.9134,0.0205,0.0451,1.62,151.83,102.19
2025-01-01,East,Product A,Retail,SMB,10221.96,0.9351,0.032,0.0407,1.55,102.47,99.75
2025-01-01,East,Product A,Distributor,Enterprise,16643.37,0.9174,0.0189,0.033,1.83,166.56,99.93
2025-01-01,East,Product A,Distributor,SMB,12001.41,0.9305,0.0226,0.0374,1.97,122.45,98.01
2025-01-01,East,Product B,Retail,Enterprise,16796.38,0.9277,0.0215,0.0382,1.77,137.22,122.41
2025-01-01,East,Product B,Retail,SMB,10691.29,0.9314,0.0261,0.0601,2.03,90.57,118.05
2025-01-01,East,Product B,Distributor,Enterprise,17974.89,0.908,0.022,0.0425,2.41,150.44,119.48
2025-01-01,East,Product B,Distributor,SMB,11821.84,0.8978,0.0242,0.0315,0.93,99.49,118.82
2025-01-01,East,Product C,Retail,Enterprise,15507.42,0.9036,0.0177,0.057,0.69,110.92,139.8
2025-01-01,East,Product C,Retail,SMB,10269.75,0.9736,0.0191,0.0371,1.03,71.39,143.86
2025-01-01,East,Product C,Distributor,Enterprise,19482.03,0.9263,0.0289,0.0435,1.51,141.25,137.93
2025-01-01,East,Product C,Distributor,SMB,12029.45,0.9264,0.0237,0.0419,0.78,87.73,137.11
2025-01-01,East,Product D,Retail,Enterprise,16001.36,0.9323,0.0268,0.0404,1.72,143.29,111.67
2025-01-01,East,Product D,Retail,SMB,9985.38,0.9285,0.0355,0.0526,1.28,90.35,110.52
2025-01-01,East,Product D,Distributor,Enterprise,17117.81,0.9479,0.0263,0.0438,1.03,158.26,108.16
2025-01-01,East,Product D,Distributor,SMB,12479.89,0.9133,0.0226,0.0421,1.38,112.69,110.75
2025-01-01,West,Product A,Retail,Enterprise,14473.76,0.9262,0.0258,0.0518,0.46,144.96,99.84
2025-01-01,West,Product A,Retail,SMB,9668.67,0.9344,0.0231,0.0259,1.32,96.43,100.26
2025-01-01,West,Product A,Distributor,Enterprise,17295.08,0.943,0.0234,0.0395,1.6,177.02,97.7
2025-01-01,West,Product A,Distributor,SMB,11274.22,0.9387,0.0337,0.0494,1.55,110.59,101.95
2025-01-01,West,Product B,Retail,Enterprise,16528.95,0.9424,0.0235,0.0405,1.29,136.84,120.79
2025-01-01,West,Product B,Retail,SMB,10651.74,0.9417,0.024,0.0494,1.46,90.36,117.88
2025-01-01,West,Product B,Distributor,Enterprise,18978.8,0.9064,0.0247,0.0306,1.62,156.44,121.32
2025-01-01,West,Product B,Distributor,SMB,12815.21,0.9195,0.0199,0.0403,0.66,105.78,121.15
2025-01-01,West,Product C,Retail,Enterprise,14974.42,0.9473,0.028,0.0217,1.43,106.46,140.66
2025-01-01,West,Product C,Retail,SMB,10364.01,0.9542,0.0147,0.0353,1.18,73.57,140.87
2025-01-01,West,Product C,Distributor,Enterprise,16940.44,0.9355,0.0292,0.0354,1.83,118.38,143.1
2025-01-01,West,Product C,Distributor,SMB,12578.8,0.9335,0.0264,0.0331,1.0,89.54,140.49
2025-01-01,West,Product D,Retail,Enterprise,14764.9,0.945,0.0197,0.039,2.34,133.46,110.63
2025-01-01,West,Product D,Retail,SMB,9317.58,0.933,0.0292,0.0401,1.69,85.76,108.64
2025-01-01,West,Product D,Distributor,Enterprise,17670.6,0.9383,0.0366,0.0384,0.9,158.64,111.39
